Название компании,Название сделки,Телефон,Email,Сайт
Лофт Тайна,Лофт Тайна,79251973620,,https://www.loft2rent.ru/loft/176812
"Лофт ТВИКС - это светлый, уютный лофт с верандой, мангалом, караоке, кальянами...","Лофт ТВИКС - это светлый, уютный лофт с верандой, мангалом, караоке, кальянами...",79912974996,,https://www.loft2rent.ru/loft/61271
Лофт Твоя вина,Лофт Твоя вина,79584974228,,https://www.reveltime.ru/venue/8471705?eventtype=vecherinka
ЛОФТ ТЕЛЕСКОП с собственной Крышей,ЛОФТ ТЕЛЕСКОП с собственной Крышей,74991121830,,https://www.loft2rent.ru/loft/884/893
Лофт Тепло в ЕКБ,Лофт Тепло в ЕКБ,79953430416,,https://www.loft2rent.ru/loft/80704
Лофт ТОКИО,Лофт ТОКИО,78005501160,,https://www.loft2rent.ru/loft/53422
Лофт Толстого,Лофт Толстого,79274923932,,https://www.loft2rent.ru/loft/94725/94734
Лофт Три бобра,Лофт Три бобра,79346644195,,https://www.reveltime.ru/venue/6171456?eventtype=vecherinka
"Лофт ТУСА - включено караоке, светомузыка, посуда. ЦАО, рядом с рекой","Лофт ТУСА - включено караоке, светомузыка, посуда. ЦАО, рядом с рекой",79099060421,,https://www.loft2rent.ru/loft/41462
Лофт Удачи,Лофт Удачи,79122608967,,https://www.loft2rent.ru/loft/156910/157365
Лофт Уютный,Лофт Уютный,79251976532,,https://www.loft2rent.ru/loft/110422
Лофт Фантом,Лофт Фантом,79386982643,,https://www.reveltime.ru/venue/5117405?eventtype=vecherinka
Лофт Фарфор. Большой исторический лофт,Лофт Фарфор. Большой исторический лофт,79910172413,,https://www.reveltime.ru/venue/3509324?eventtype=vecherinka
Лофт Фарфор. Лофт в здании 18 века,Лофт Фарфор. Лофт в здании 18 века,79778814724,,https://www.reveltime.ru/venue/294022?eventtype=vecherinka
Лофт Фарфор. Неоновый лисенок. Дизайнерский лофт-зал 70кв.м,Лофт Фарфор. Неоновый лисенок. Дизайнерский лофт-зал 70кв.м,79910172113,,https://www.reveltime.ru/venue/3464143?eventtype=vecherinka
Лофт Фарфор. Современный двухкомнатный лофт,Лофт Фарфор. Современный двухкомнатный лофт,79584974160,,https://www.reveltime.ru/venue/4406245?eventtype=vecherinka
Лофт Фарфор. Стильный лофт с колоннами,Лофт Фарфор. Стильный лофт с колоннами,79778814724,,https://www.reveltime.ru/venue/332947?eventtype=vecherinka
Лофт Фарфор. Торжественный лофт с роялем,Лофт Фарфор. Торжественный лофт с роялем,79778814724,,https://www.reveltime.ru/venue/643984?eventtype=vecherinka
Лофт Фарфор. Тёмный лофт,Лофт Фарфор. Тёмный лофт,79019397094,,https://www.reveltime.ru/venue/4898097?eventtype=vecherinka
Лофт Флора,Лофт Флора,79936053121,,https://www.loft2rent.ru/loft/30979
Лофт Флоу,Лофт Флоу,79264950693,,https://www.loft2rent.ru/loft/151019
Лофт Цоколь,Лофт Цоколь,79274923932,,https://www.loft2rent.ru/loft/94725
Лофт Шекспир с караоке на Дмитровской,Лофт Шекспир с караоке на Дмитровской,79264950693,,https://www.loft2rent.ru/loft/151019
Лофт Эко. Эго,Лофт Эко. Эго,79688786565,,https://www.reveltime.ru/venue/4553418?eventtype=vecherinka
"Лофт, залы для мероприятий, тренингов, праздников, корпоративов, обучения","Лофт, залы для мероприятий, тренингов, праздников, корпоративов, обучения",79137162133,,https://www.loft2rent.ru/loft/170584
Лофт-BEE-LOUNGE,Лофт-BEE-LOUNGE,79254101344,,https://www.loft2rent.ru/loft/77214
Лофт-RAVE,Лофт-RAVE,79254101344,,https://www.loft2rent.ru/loft/77214
Лофт-The-Forest,Лофт-The-Forest,79254101344,,https://www.loft2rent.ru/loft/77214
Лофт-бар,Лофт-бар,79386989873,,https://www.reveltime.ru/venue/3509254?eventtype=vecherinka
"Лофт-Бар ""Сота"" на Алексеевской","Лофт-Бар ""Сота"" на Алексеевской",79771476874,,https://www.loft2rent.ru/loft/110857/110865
"Лофт-бар зал ""Под Крышей""","Лофт-бар зал ""Под Крышей""",79993492320,,https://www.loft2rent.ru/loft/39383
"Лофт-Веранда ""Дивный лес""","Лофт-Веранда ""Дивный лес""",79167150457,,https://www.loft2rent.ru/loft/182845
Лофт-дача,Лофт-дача,79268156052,,https://www.loft2rent.ru/loft/190365/190369
"Лофт-зал в розовых тонах Queen с диско-шаром, фотозоной, караоке","Лофт-зал в розовых тонах Queen с диско-шаром, фотозоной, караоке",79031959349,,https://www.loft2rent.ru/loft/151727
"Лофт-игровая ""вМесте""","Лофт-игровая ""вМесте""",79217816118,,https://www.loft2rent.ru/loft/84117
Лофт-клуб Метаморфоза,Лофт-клуб Метаморфоза,79778066761,,https://www.loft2rent.ru/loft/69872
Лофт-нарния «Иду Лесом»,Лофт-нарния «Иду Лесом»,79998957134,,https://www.loft2rent.ru/loft/49814
Лофт-пространство Centrum круглой формы со сценой и диско-шарами,Лофт-пространство Centrum круглой формы со сценой и диско-шарами,79852198400,,https://www.loft2rent.ru/loft/97467
Лофт-центр «Б69» с верандой на крыше,Лофт-центр «Б69» с верандой на крыше,79311065003,,https://www.loft2rent.ru/loft/54749
Лофт-центр Б69. Зал Disco Spa с верандой на крыше,Лофт-центр Б69. Зал Disco Spa с верандой на крыше,79584974089,,https://www.reveltime.ru/venue/4462119?eventtype=vecherinka
Лофт-центр Б69. Зал Lollipop с верандой на крыше,Лофт-центр Б69. Зал Lollipop с верандой на крыше,79584974206,,https://www.reveltime.ru/venue/4462192?eventtype=vecherinka
Лофт-центр Б69. Зал Pop Art с верандой на крыше,Лофт-центр Б69. Зал Pop Art с верандой на крыше,79584974208,,https://www.reveltime.ru/venue/4462205?eventtype=vecherinka
Лофт-центр Б69. Зал Red Flag с верандой на крыше,Лофт-центр Б69. Зал Red Flag с верандой на крыше,79019317588,,https://www.reveltime.ru/venue/4512912?eventtype=vecherinka
Лофт-центр Б69. Зал UFC с верандой на крыше,Лофт-центр Б69. Зал UFC с верандой на крыше,79584974208,,https://www.reveltime.ru/venue/4462280?eventtype=vecherinka
Лофт-центр Б69. Зал Urban с верандой на крыше,Лофт-центр Б69. Зал Urban с верандой на крыше,79584974208,,https://www.reveltime.ru/venue/4462256?eventtype=vecherinka
Лофт-центр Б69. Зал Акира,Лофт-центр Б69. Зал Акира,79584974167,,https://www.reveltime.ru/venue/4461391?eventtype=vecherinka
Лофт-центр Б69. Зал Арена с верандой на крыше,Лофт-центр Б69. Зал Арена с верандой на крыше,79584974228,,https://www.reveltime.ru/venue/4498432?eventtype=vecherinka
Лофт-центр Б69. Зал Арт Фьюжен с верандой на крыше,Лофт-центр Б69. Зал Арт Фьюжен с верандой на крыше,79584974139,,https://www.reveltime.ru/venue/4461906?eventtype=vecherinka
Лофт-центр Б69. Зал Багз Банни с верандой на крыше,Лофт-центр Б69. Зал Багз Банни с верандой на крыше,79584974039,,https://www.reveltime.ru/venue/4512848?eventtype=vecherinka
Лофт-центр Б69. Зал Бохо с верандой на крыше,Лофт-центр Б69. Зал Бохо с верандой на крыше,79584974150,,https://www.reveltime.ru/venue/4461757?eventtype=vecherinka
Лофт-центр Б69. Зал Бунгало с верандой на крыше,Лофт-центр Б69. Зал Бунгало с верандой на крыше,79584974150,,https://www.reveltime.ru/venue/4461721?eventtype=vecherinka
Лофт-центр Б69. Зал Бэнкси с верандой на крыше,Лофт-центр Б69. Зал Бэнкси с верандой на крыше,79584974084,,https://www.reveltime.ru/venue/4512761?eventtype=vecherinka
Лофт-центр Б69. Зал Вандал с верандой на крыше,Лофт-центр Б69. Зал Вандал с верандой на крыше,79584974150,,https://www.reveltime.ru/venue/4461712?eventtype=vecherinka
Лофт-центр Б69. Зал Вегас с верандой на крыше,Лофт-центр Б69. Зал Вегас с верандой на крыше,79584974084,,https://www.reveltime.ru/venue/4512725?eventtype=vecherinka
Лофт-центр Б69. Зал Веном с верандой на крыше,Лофт-центр Б69. Зал Веном с верандой на крыше,79584974150,,https://www.reveltime.ru/venue/4461793?eventtype=vecherinka
Лофт-центр Б69. Зал Винишко,Лофт-центр Б69. Зал Винишко,79019317663,,https://www.reveltime.ru/venue/7693809?eventtype=vecherinka
Лофт-центр Б69. Зал Во все тяжкие с верандой на крыше,Лофт-центр Б69. Зал Во все тяжкие с верандой на крыше,79584973975,,https://www.reveltime.ru/venue/4512906?eventtype=vecherinka
Лофт-центр Б69. Зал Галерея,Лофт-центр Б69. Зал Галерея,79584973975,,https://www.reveltime.ru/venue/4512874?eventtype=vecherinka
Лофт-центр Б69. Зал Гараж,Лофт-центр Б69. Зал Гараж,79584974139,,https://www.reveltime.ru/venue/4461877?eventtype=vecherinka
Лофт-центр Б69. Зал Гетсби с верандой на крыше,Лофт-центр Б69. Зал Гетсби с верандой на крыше,79584974139,,https://www.reveltime.ru/venue/4461922?eventtype=vecherinka
Лофт-центр Б69. Зал Гримерка с верандой на крыше,Лофт-центр Б69. Зал Гримерка с верандой на крыше,79584974139,,https://www.reveltime.ru/venue/4461946?eventtype=vecherinka
Лофт-центр Б69. Зал Давид с верандой на крыше,Лофт-центр Б69. Зал Давид с верандой на крыше,79584974139,,https://www.reveltime.ru/venue/4461977?eventtype=vecherinka
Лофт-центр Б69. Зал Дисней 16+ с верандой на крыше,Лофт-центр Б69. Зал Дисней 16+ с верандой на крыше,79584974089,,https://www.reveltime.ru/venue/4462046?eventtype=vecherinka
Лофт-центр Б69. Зал Индиго с верандой на крыше,Лофт-центр Б69. Зал Индиго с верандой на крыше,79584973975,,https://www.reveltime.ru/venue/4512901?eventtype=vecherinka
Лофт-центр Б69. Зал Контент База с верандой на крыше,Лофт-центр Б69. Зал Контент База с верандой на крыше,79584974039,,https://www.reveltime.ru/venue/4512868?eventtype=vecherinka
Лофт-центр Б69. Зал Кристалл,Лофт-центр Б69. Зал Кристалл,79584974228,,https://www.reveltime.ru/venue/4498497?eventtype=vecherinka
Лофт-центр Б69. Зал Кутюр с верандой на крыше,Лофт-центр Б69. Зал Кутюр с верандой на крыше,79584974089,,https://www.reveltime.ru/venue/4462088?eventtype=vecherinka
Лофт-центр Б69. Зал Кэш с верандой на крыше,Лофт-центр Б69. Зал Кэш с верандой на крыше,79584611054,,https://www.reveltime.ru/venue/4996505?eventtype=vecherinka
Лофт-центр Б69. Зал ЛоуРайдер,Лофт-центр Б69. Зал ЛоуРайдер,79584974206,,https://www.reveltime.ru/venue/4462139?eventtype=vecherinka
Лофт-центр Б69. Зал Материя с верандой на крыше,Лофт-центр Б69. Зал Материя с верандой на крыше,79584973975,,https://www.reveltime.ru/venue/4512896?eventtype=vecherinka
Лофт-центр Б69. Зал Нейросеть с верандой на крыше,Лофт-центр Б69. Зал Нейросеть с верандой на крыше,79584974039,,https://www.reveltime.ru/venue/4512858?eventtype=vecherinka
Лофт-центр Б69. Зал Неон бар с верандой на крыше,Лофт-центр Б69. Зал Неон бар с верандой на крыше,79584974206,,https://www.reveltime.ru/venue/4462178?eventtype=vecherinka
Лофт-центр Б69. Зал Октава с верандой на крыше,Лофт-центр Б69. Зал Октава с верандой на крыше,79584055346,,https://www.reveltime.ru/venue/4910989?eventtype=vecherinka
Лофт-центр Б69. Зал Олимпия с верандой на крыше,Лофт-центр Б69. Зал Олимпия с верандой на крыше,79584974039,,https://www.reveltime.ru/venue/4512820?eventtype=vecherinka
Лофт-центр Б69. Зал Подушка Пати с верандой на крыше,Лофт-центр Б69. Зал Подушка Пати с верандой на крыше,79584974228,,https://www.reveltime.ru/venue/4497618?eventtype=vecherinka
Лофт-центр Б69. Зал Призма с верандой на крыше,Лофт-центр Б69. Зал Призма с верандой на крыше,79584974331,,https://www.reveltime.ru/venue/4462294?eventtype=vecherinka
Лофт-центр Б69. Зал Слово пацана,Лофт-центр Б69. Зал Слово пацана,79584974208,,https://www.reveltime.ru/venue/4462237?eventtype=vecherinka
Лофт-центр Б69. Зал СССР,Лофт-центр Б69. Зал СССР,79584974228,,https://www.reveltime.ru/venue/4498536?eventtype=vecherinka
Лофт-центр Б69. Зал Ультра с верандой на крыше,Лофт-центр Б69. Зал Ультра с верандой на крыше,79584974206,,https://www.reveltime.ru/venue/4462148?eventtype=vecherinka
Лофт-центр Б69. Зал Форсаж,Лофт-центр Б69. Зал Форсаж,79584973975,,https://www.reveltime.ru/venue/4512891?eventtype=vecherinka
Лофт-центр Б69. Зал Черный Антик с верандой на крыше,Лофт-центр Б69. Зал Черный Антик с верандой на крыше,79584974208,,https://www.reveltime.ru/venue/4462264?eventtype=vecherinka
Лофт-центр Б69. Зал Якудза,Лофт-центр Б69. Зал Якудза,79584974064,,https://www.reveltime.ru/venue/4512806?eventtype=vecherinka
ЛофтDream Game Center,ЛофтDream Game Center,74957390915,,https://www.loft2rent.ru/loft/144107/144124
Лофт«PAPA BARVILLAGE»,Лофт«PAPA BARVILLAGE»,79585410041,,https://www.loft2rent.ru/loft/97591
ЛофтЗал-сцена,ЛофтЗал-сцена,79774222629,,https://www.loft2rent.ru/loft/141961/149990
ЛофтКараоке зал,ЛофтКараоке зал,79774222629,,https://www.loft2rent.ru/loft/141961/142023
ЛофтЛаунж-зал,ЛофтЛаунж-зал,79774222629,,https://www.loft2rent.ru/loft/141961/176556
ЛофтПати Рум №1,ЛофтПати Рум №1,74957390915,,https://www.loft2rent.ru/loft/144107/183473
ЛофтСамый Лучший День,ЛофтСамый Лучший День,73432710202,,https://www.loft2rent.ru/loft/101669/101686
ЛофтСити Лаундж. Grey Silk (Грей Силк),ЛофтСити Лаундж. Grey Silk (Грей Силк),79346699837,,https://www.reveltime.ru/venue/6637413?eventtype=vecherinka
"Лофты в Химках и ЗеленоградеЛофт ""Королевство праздников""","Лофты в Химках и ЗеленоградеЛофт ""Королевство праздников""",79637619043,,https://www.loft2rent.ru/loft/142525/142528
"Лофты в Химках и ЗеленоградеЛофт ""Планета праздника""","Лофты в Химках и ЗеленоградеЛофт ""Планета праздника""",79637619043,,https://www.loft2rent.ru/loft/142525/186860
"Лофты в Химках и ЗеленоградеЛофт ""У дяди Саши""","Лофты в Химках и ЗеленоградеЛофт ""У дяди Саши""",79685251155,,https://www.loft2rent.ru/loft/142525/142584
Лофты Москва-СитиКонференц-зал Восток Центр Москва Сити,Лофты Москва-СитиКонференц-зал Восток Центр Москва Сити,79672348469,,https://www.loft2rent.ru/loft/36970/48409
"Лофты Москва-СитиЛофты в Москва-Сити. высокие этажи, панорамные виды","Лофты Москва-СитиЛофты в Москва-Сити. высокие этажи, панорамные виды",79672348469,,https://www.loft2rent.ru/loft/36970/43905
"Лофты Москва-СитиПереговорная комната ""Восток а30"" Москва-Сити","Лофты Москва-СитиПереговорная комната ""Восток а30"" Москва-Сити",79672348469,,https://www.loft2rent.ru/loft/36970/52493
Лофты Москва-СитиПереговорная комната Москва-Сити,Лофты Москва-СитиПереговорная комната Москва-Сити,79672348469,,https://www.loft2rent.ru/loft/36970/48617
Лофты РичЛофт Грин Рич,Лофты РичЛофт Грин Рич,79653998900,,https://www.loft2rent.ru/loft/86479/209976
Лофты РичЛофт Рич,Лофты РичЛофт Рич,79653998900,,https://www.loft2rent.ru/loft/86479/162219
ЛСР Группа,ЛСР Группа,78007707577,mail@lsrgroup.ru,https://www.lsrgroup.ru
Луна,Луна,74954780638,,https://www.loft2rent.ru/loft/109926
ЛУНА,ЛУНА,79500081238,,https://www.loft2rent.ru/loft/185740
Луна 2077,Луна 2077,79031078595,,https://www.loft2rent.ru/loft/158576/158607
Любовь,Любовь,79164400130,,https://www.loft2rent.ru/loft/101001
Люди ГородаЗал с Проектором. Зал Бруклин.,Люди ГородаЗал с Проектором. Зал Бруклин.,79774767984,,https://www.loft2rent.ru/loft/9937/65895
Люди ГородаЗал с проектором. Зал Мельбурн,Люди ГородаЗал с проектором. Зал Мельбурн,79774767984,,https://www.loft2rent.ru/loft/9937/128024
Люди ГородаКабинет Психолога. Зал Мали,Люди ГородаКабинет Психолога. Зал Мали,79774767984,,https://www.loft2rent.ru/loft/9937/65887
Люди ГородаКабинет Психолога. Зал Ницца,Люди ГородаКабинет Психолога. Зал Ницца,79774767984,,https://www.loft2rent.ru/loft/9937/74200
Люкс апартаменты Москва-СитиThe Cloud Room №1,Люкс апартаменты Москва-СитиThe Cloud Room №1,79955573968,,https://www.loft2rent.ru/loft/174655/174659
Люкс апартаменты Москва-СитиThe Cloud Room №2,Люкс апартаменты Москва-СитиThe Cloud Room №2,79955573968,,https://www.loft2rent.ru/loft/174655/174671
Люкс апартаменты Москва-СитиThe Cloud Room №3,Люкс апартаменты Москва-СитиThe Cloud Room №3,79955573968,,https://www.loft2rent.ru/loft/174655/174674
Люкс-лофт 89 м² в Москва-Сити Neva Towers (Moscow city Neva Towers),Люкс-лофт 89 м² в Москва-Сити Neva Towers (Moscow city Neva Towers),79111023333,,https://www.loft2rent.ru/loft/107530
Люксовые Апартаменты В Москва-Сити,Люксовые Апартаменты В Москва-Сити,79111023333,,https://www.loft2rent.ru/loft/107530
Люксовый лофт Дюна со стеклянным баром,Люксовый лофт Дюна со стеклянным баром,79584974150,,https://www.reveltime.ru/venue/8404629?eventtype=vecherinka
Люксовый лофт Москва-сити,Люксовый лофт Москва-сити,79111023333,,https://www.loft2rent.ru/loft/107530
Люмьер. Кинолофт с выходом на крышу,Люмьер. Кинолофт с выходом на крышу,79676928674,,https://www.reveltime.ru/venue/5339840?eventtype=vecherinka
Ля МузонКонцертный зал,Ля МузонКонцертный зал,79857662030,,https://www.loft2rent.ru/loft/186547/186554
Ля МузонХрустальный зал,Ля МузонХрустальный зал,79857662030,,https://www.loft2rent.ru/loft/186547/186549
ЛЁГКИЙ,ЛЁГКИЙ,79035558942,,https://www.loft2rent.ru/loft/15054
Магритт - Светлый лофт с настроением лета и большим арочным окном,Магритт - Светлый лофт с настроением лета и большим арочным окном,74950327390,,https://www.loft2rent.ru/loft/5581
Майами,Майами,78124435702,,https://www.loft2rent.ru/loft/83744
Майами-Бич,Майами-Бич,78122007818,,https://www.loft2rent.ru/loft/75982
Макет Москвы (ВДНХ),Макет Москвы (ВДНХ),79252373728,1-square@2x.jpg,https://maketmoskvy.ru
МАКСВЕЛЛ,МАКСВЕЛЛ,74952924217,,https://www.loft2rent.ru/loft/53255
Малая Арена,Малая Арена,79168383134,,https://www.loft2rent.ru/loft/129061
Малевич - Уютный лофт в стиле супрематизм,Малевич - Уютный лофт в стиле супрематизм,74950327390,,https://www.loft2rent.ru/loft/5581
Малый зал,Малый зал,78122407880,,https://www.loft2rent.ru/loft/142338
МАЛЫЙ ЗАЛ,МАЛЫЙ ЗАЛ,74956003606,,https://www.loft2rent.ru/loft/36344
Малый зал на Балтийской,Малый зал на Балтийской,78122408585,,https://www.loft2rent.ru/loft/144088
Малый Тронный Зал,Малый Тронный Зал,79523735870,,https://www.loft2rent.ru/loft/81543
Мансарда,Мансарда,79213544851,,https://www.loft2rent.ru/loft/110170
Мансарда,Мансарда,79274923932,,https://www.loft2rent.ru/loft/94725
Мансардный лофт,Мансардный лофт,74991112578,,https://www.reveltime.ru/venue/804143?eventtype=vecherinka
Манхэттен,Манхэттен,78126067020,,https://www.loft2rent.ru/loft/169051
Марокко,Марокко,74954780638,,https://www.loft2rent.ru/loft/109926
МастериумЛофт 230м² \,МастериумЛофт 230м² \,,,Звук 1000Вт \
МастериумПереговорка 12 чел \,МастериумПереговорка 12 чел \,,,Своя парковка \
Мастерская на Кулишках,Мастерская на Кулишках,79651473923,,https://www.reveltime.ru/venue/482584?eventtype=vecherinka
Мастерская на Кулишках. Атмосферный лофт,Мастерская на Кулишках. Атмосферный лофт,79651473923,,https://www.reveltime.ru/venue/463327?eventtype=vecherinka
Мастерская на Кулишках. Творческий лофт,Мастерская на Кулишках. Творческий лофт,79651473923,,https://www.reveltime.ru/venue/471230?eventtype=vecherinka
Матрешка,Матрешка,74950252565,,https://matryoshka-rest.ru/
МаякDanceБольшой зал (2 танцкласс),МаякDanceБольшой зал (2 танцкласс),79295879151,,https://www.loft2rent.ru/loft/43338/108226
МаякDanceМалый зал (4 танцкласс),МаякDanceМалый зал (4 танцкласс),79295879151,,https://www.loft2rent.ru/loft/43338/108512
МаякDanceСредний зал (3 танцзал),МаякDanceСредний зал (3 танцзал),79295879151,,https://www.loft2rent.ru/loft/43338/43340
МаякDanceЧерный зал(1 танцкласс),МаякDanceЧерный зал(1 танцкласс),79295879151,,https://www.loft2rent.ru/loft/43338/143821
Медицинское Частное учреждение Дополнительного Профессионального Образования «Нефросовет»,Медицинское Частное учреждение Дополнительного Профессионального Образования «Нефросовет»,,info@nefrosovet.ru,https://nefrosovet.ru
Международная Школа,Международная Школа,79037358355,,https://www.loft2rent.ru/loft/189553/189558
Межпространственная лаборатория,Межпространственная лаборатория,78122007818,,https://www.loft2rent.ru/loft/75982
Мексика,Мексика,78126067020,,https://www.loft2rent.ru/loft/169051
МелОк Лофт,МелОк Лофт,79363131606,,https://www.loft2rent.ru/loft/120045/120947
"Мемори - танцевальный лофт с караоке, большим экраном, фотозоной с неоном и сценой!","Мемори - танцевальный лофт с караоке, большим экраном, фотозоной с неоном и сценой!",74951914157,,https://www.loft2rent.ru/loft/142644
Мемори лофт. Versailles (Версаль). Элегантный лофт,Мемори лофт. Versailles (Версаль). Элегантный лофт,79346608162,,https://www.reveltime.ru/venue/8307065?eventtype=vecherinka
Мемори лофт. Гэтсби. Стильный тематический лофт в черно-золотых цветах,Мемори лофт. Гэтсби. Стильный тематический лофт в черно-золотых цветах,79019397085,,https://www.reveltime.ru/venue/6560186?eventtype=vecherinka
Мемори лофт. Дримс. Клубный лофт с караоке и диско‑шаром,Мемори лофт. Дримс. Клубный лофт с караоке и диско‑шаром,79019397085,,https://www.reveltime.ru/venue/6560340?eventtype=vecherinka
Мемори лофт. Дэнс. Современный лофт,Мемори лофт. Дэнс. Современный лофт,79019397085,,https://www.reveltime.ru/venue/6560375?eventtype=vecherinka
Мемори лофт. Классик. Лофт с двумя залами,Мемори лофт. Классик. Лофт с двумя залами,79346644195,,https://www.reveltime.ru/venue/7566650?eventtype=vecherinka
Мемори лофт. Классик. Элегантный лофт в классическом стиле,Мемори лофт. Классик. Элегантный лофт в классическом стиле,79019397085,,https://www.reveltime.ru/venue/6560301?eventtype=vecherinka
Мемори лофт. Мемори. Танцевальный лофт,Мемори лофт. Мемори. Танцевальный лофт,79019397046,,https://www.reveltime.ru/venue/6559792?eventtype=vecherinka
Мемори лофт. Севилья. Уютный лофт с мебелью и светомузыкой,Мемори лофт. Севилья. Уютный лофт с мебелью и светомузыкой,79346657019,,https://www.reveltime.ru/venue/8307501?eventtype=vecherinka
Мемори лофт. Тиффани. Изысканный лофт,Мемори лофт. Тиффани. Изысканный лофт,79019397094,,https://www.reveltime.ru/venue/6560444?eventtype=vecherinka
Мемори лофт. Токио. Лофт в японском стиле с модным дизайном,Мемори лофт. Токио. Лофт в японском стиле с модным дизайном,79019397094,,https://www.reveltime.ru/venue/6560415?eventtype=vecherinka
Мемори лофт. Хэппи. Светлый лофт,Мемори лофт. Хэппи. Светлый лофт,79019397085,,https://www.reveltime.ru/venue/6560202?eventtype=vecherinka
Мемфис - дизайнерский лофт с отдельной кухней и отдельным входом в ЦАО,Мемфис - дизайнерский лофт с отдельной кухней и отдельным входом в ЦАО,74950080403,,https://www.loft2rent.ru/loft/30985
Место Встречи,Место Встречи,79912822728,,https://www.loft2rent.ru/loft/202376/202378
Металлинвестбанк,Металлинвестбанк,74957279797,metib@metib.ru,https://metallinvestbank.ru
Микеланджело - Лофт из белого кирпича с верандой с панорамным остеклением и камином,Микеланджело - Лофт из белого кирпича с верандой с панорамным остеклением и камином,74950327390,,https://www.loft2rent.ru/loft/5581
МИКС ЛОФТ,МИКС ЛОФТ,79117555688,,https://www.loft2rent.ru/loft/126318
МИЛК (MILK),МИЛК (MILK),79258582494,,https://www.loft2rent.ru/loft/138720
Милый Loft Москва-сити,Милый Loft Москва-сити,79111023333,,https://www.loft2rent.ru/loft/107530
Мини-лофт с кухней,Мини-лофт с кухней,79150794620,,https://www.reveltime.ru/venue/539567?eventtype=vecherinka
"Мини-отель ""Таёжный""Банкетный зал","Мини-отель ""Таёжный""Банкетный зал",74951343464,,https://www.loft2rent.ru/loft/81868/81870
"Мини-отель ""Таёжный""Деревянный Дом","Мини-отель ""Таёжный""Деревянный Дом",74951343464,,https://www.loft2rent.ru/loft/81868/162285
"Мини-отель ""Таёжный""Треугольный дом","Мини-отель ""Таёжный""Треугольный дом",74951343464,,https://www.loft2rent.ru/loft/81868/120531
Мини-отель Гнёздышко,Мини-отель Гнёздышко,,,https://ostrovok.ru/hotel/russia/moscow/mid10125619/gnyozdyshko_minihotel
Мини-отель Дом Художников Коровиных,Мини-отель Дом Художников Коровиных,,,https://ostrovok.ru/hotel/russia/moscow/mid13122954/dom_khudozhnikov_korovinykh_minihotel
Мини-отель РГК Алексеевский,Мини-отель РГК Алексеевский,,,https://ostrovok.ru/hotel/russia/moscow/mid9990589/rgk_alekseevskij
Мини-отель Фонда,Мини-отель Фонда,,,https://ostrovok.ru/hotel/russia/moscow/mid6388942/minihotel_fonda
МиниМания – Детская игровая комнатаМиниМания,МиниМания – Детская игровая комнатаМиниМания,79175995654,,https://www.loft2rent.ru/loft/152329/152369
"МиниПати. Уютный лофт для небольшой компании, с караоке, большим экраном, диско-шаром, фотозоной с неоном и мощным звуком","МиниПати. Уютный лофт для небольшой компании, с караоке, большим экраном, диско-шаром, фотозоной с неоном и мощным звуком",79346691548,,https://www.reveltime.ru/venue/6829674?eventtype=vecherinka
Министерство лофт в Столешниковом переулке,Министерство лофт в Столешниковом переулке,74998773459,,https://www.loft2rent.ru/loft/aviator
МИР концертный зал,МИР концертный зал,79585410041,,https://www.loft2rent.ru/loft/97591
Мира - атмосферный лофт в арт-пространстве с барами и кафе,Мира - атмосферный лофт в арт-пространстве с барами и кафе,74950080403,,https://www.loft2rent.ru/loft/30985
Мираторг,Мираторг,74956519252,a.s.anciferov@agrohold.ru,https://www.miratorg.ru
МираХолл - площадка для любых мероприятий.,МираХолл - площадка для любых мероприятий.,74951207719,,https://www.loft2rent.ru/loft/187684
Мишель Вермишель,Мишель Вермишель,79256090545,,https://www.loft2rent.ru/loft/193055/194971
ММК,ММК,73519244009,infommk@mmk.ru,https://www.mmk.ru
ММОМА (Московский музей современного искусства),ММОМА (Московский музей современного искусства),74956998052,hello@rukav.space,https://mmoma.ru
Модильяни - Просторный светлый лофт с камином,Модильяни - Просторный светлый лофт с камином,74950327390,,https://www.loft2rent.ru/loft/5581
МодникиБар Модники,МодникиБар Модники,79151343339,,https://www.loft2rent.ru/loft/119050/119662
Молодежное пространствоЛофт Молодежное пространстов,Молодежное пространствоЛофт Молодежное пространстов,79268153040,,https://www.loft2rent.ru/loft/198256/202532
"Момент. Просторный светлый зал со сценой, светомузыкой и караоке","Момент. Просторный светлый зал со сценой, светомузыкой и караоке",79584974215,,https://www.reveltime.ru/venue/8465977?eventtype=vecherinka
Мондриан,Мондриан,78122007818,,https://www.loft2rent.ru/loft/75982
Моне - Уютный лофт в стиле импрессионизм,Моне - Уютный лофт в стиле импрессионизм,74950327390,,https://www.loft2rent.ru/loft/5581
Монмартр - 3-х этажный особняк,Монмартр - 3-х этажный особняк,74950327390,,https://www.loft2rent.ru/loft/5581
Монолит Холл,Монолит Холл,79775068120,,https://www.loft2rent.ru/loft/184686/184688
Монте Карло,Монте Карло,78126067020,,https://www.loft2rent.ru/loft/169051
Морская Площадь,Морская Площадь,78122133202,,https://twitter.com/sevcableport
Морская симфония,Морская симфония,74954780638,,https://www.loft2rent.ru/loft/109926
Мос лофт,Мос лофт,79661116114,,https://www.loft2rent.ru/loft/79730/80145
