Название компании,Название сделки,Телефон,Email,Сайт
Cosmos Москва Шереметьево Аэропорт Отель,Cosmos Москва Шереметьево Аэропорт Отель,,,https://ostrovok.ru/hotel/russia/moscow/mid7597228/park_inn_by_radisson_sheremetyevo_airport_moscow
Cosmoscow,Cosmoscow,,3306b12ddf0b4e76bb90f9e8bd155510@gt.cosmoscow.com,https://cosmoscow.com
Couchsurfing Moscow community,Couchsurfing Moscow community,,support@couchsurfing.com,https://couchsurfing.com
Country Resort Peresvet,Country Resort Peresvet,74956486970,corporate@country-resort.com,https://country-resort.com
Courtyard by Marriott Moscow Paveletskaya,Courtyard by Marriott Moscow Paveletskaya,74952877281,development@cosmosgroup.ru,https://paveletskaya.cosmosgroup.ru
"Coworking Moscow BigWig""Room 1""","Coworking Moscow BigWig""Room 1""",79775187266,,https://www.loft2rent.ru/loft/61416/61434
"Coworking Moscow BigWig""Room 2""","Coworking Moscow BigWig""Room 2""",79775187266,,https://www.loft2rent.ru/loft/61416/61442
"Coworking Moscow BigWig""Room 3""","Coworking Moscow BigWig""Room 3""",79775187266,,https://www.loft2rent.ru/loft/61416/61446
"Coworking Moscow BigWig""Room 4""","Coworking Moscow BigWig""Room 4""",79775187266,,https://www.loft2rent.ru/loft/61416/61450
"Coworking Moscow BigWig""Room 5""","Coworking Moscow BigWig""Room 5""",79775187266,,https://www.loft2rent.ru/loft/61416/61454
"Coworking Moscow BigWig""Room 6""","Coworking Moscow BigWig""Room 6""",79775187266,,https://www.loft2rent.ru/loft/61416/61458
"Coworking Moscow BigWig""Room 7""","Coworking Moscow BigWig""Room 7""",79775187266,,https://www.loft2rent.ru/loft/61416/61467
"Coworking Moscow BigWig""Room 8""","Coworking Moscow BigWig""Room 8""",79775187266,,https://www.loft2rent.ru/loft/61416/61463
Coworking Moscow BigWigRoom 10,Coworking Moscow BigWigRoom 10,79775187266,,https://www.loft2rent.ru/loft/61416/128042
Coworking Moscow BigWigRoom 9,Coworking Moscow BigWigRoom 9,79775187266,,https://www.loft2rent.ru/loft/61416/128039
Coworking Moscow BigWigАвстралия,Coworking Moscow BigWigАвстралия,79775187266,,https://www.loft2rent.ru/loft/61416/61491
Coworking Moscow BigWigАргентина,Coworking Moscow BigWigАргентина,79775187266,,https://www.loft2rent.ru/loft/61416/61495
Coworking Moscow BigWigКанада,Coworking Moscow BigWigКанада,79775187266,,https://www.loft2rent.ru/loft/61416/61499
Coworking Moscow BigWigКитай,Coworking Moscow BigWigКитай,79775187266,,https://www.loft2rent.ru/loft/61416/61503
Coworking Moscow BigWigМадагаскар,Coworking Moscow BigWigМадагаскар,79775187266,,https://www.loft2rent.ru/loft/61416/61507
Coworking Moscow BigWigМексика,Coworking Moscow BigWigМексика,79775187266,,https://www.loft2rent.ru/loft/61416/61511
Coworking Moscow BigWigПеру,Coworking Moscow BigWigПеру,79775187266,,https://www.loft2rent.ru/loft/61416/61515
Coworking Moscow BigWigШотландия,Coworking Moscow BigWigШотландия,79775187266,,https://www.loft2rent.ru/loft/61416/61519
Crazy Loft,Crazy Loft,79164400130,,https://www.loft2rent.ru/loft/177908
Creative Art Space,Creative Art Space,79857897745,,https://www.loft2rent.ru/loft/163499/163501
Creative Market,Creative Market,74957873436,info@creativemarket.ru,https://creativemarket.ru
Crocus Fitness,Crocus Fitness,,info@crocusfitness.com,https://crocusfitness.com
Crowne Plaza Moscow Tretyakovskaya,Crowne Plaza Moscow Tretyakovskaya,74952582122,plazareservations@plazagarden.ru,https://plazagarden.ru
CTB Film Company,CTB Film Company,,,https://ctb.ru
Cube.Moscow,Cube.Moscow,,coordinator@cube.moscow,https://cube.moscow
Cucinarium,Cucinarium,79629480842,,https://www.loft2rent.ru/loft/180775/180777
Culinary style лофт,Culinary style лофт,79163797300,,https://www.reveltime.ru/venue/1372200?eventtype=vecherinka
Culture Projects Moscow Office,Culture Projects Moscow Office,,,https://culture.mos.ru
Custom Loft,Custom Loft,79936053121,,https://www.loft2rent.ru/loft/30979
Cyber Antique. Лофт в современной античности,Cyber Antique. Лофт в современной античности,79584974226,,https://www.reveltime.ru/venue/4505240?eventtype=vecherinka
"Cyberpunk loft с ПИЛОНОМ , караоке и PS 5 ! на Бауманской","Cyberpunk loft с ПИЛОНОМ , караоке и PS 5 ! на Бауманской",74993025372,,https://www.loft2rent.ru/loft/66644
Cycling Moscow,Cycling Moscow,,info@cyclingrace.ru,https://cyclingrace.ru
CтарБарПлощадка с караоке и кальяном,CтарБарПлощадка с караоке и кальяном,79804637054,,https://www.loft2rent.ru/loft/185887/186031
D13 Boutique & Restaurant,D13 Boutique & Restaurant,79771789349,,https://www.loft2rent.ru/loft/195075/195109
Dacha restaurant,Dacha restaurant,74951912888,,https://www.loft2rent.ru/loft/188924/189002
Dakota Loft,Dakota Loft,79956266565,,https://www.loft2rent.ru/loft/134148
Dark,Dark,74951084290,,https://www.loft2rent.ru/loft/153561
Davidoff Club Moscow,Davidoff Club Moscow,74956264444,,https://bronnaya.club
Deep - Клуб для праздников и мероприятий,Deep - Клуб для праздников и мероприятий,79255165332,,https://www.loft2rent.ru/loft/172081
Deep Loft - лофт с подвалом для взрослых и верандой,Deep Loft - лофт с подвалом для взрослых и верандой,74950080403,,https://www.loft2rent.ru/loft/30985
Delicatessen,Delicatessen,74956993952,,http://delicatessen.bar/
Delovaya Rossiya,Delovaya Rossiya,74956491826,info@deloros.ru,https://deloros.ru
Dentsu (legacy Russia),Dentsu (legacy Russia),,,https://www.dentsu.com
Depo-Loft,Depo-Loft,79667566254,,https://www.loft2rent.ru/loft/88534
Depot branding,Depot branding,74953632288,hello@depotwpf.ru,https://depotwpf.ru
Derzay Event & Loft,Derzay Event & Loft,79112236646,,https://www.loft2rent.ru/loft/184079/184081
Design Hotel RING City,Design Hotel RING City,78442923232,hotelring@yandex.ru,https://hotel-ring.ru/about
DFM,DFM,,,https://dfm.ru
Di Nulla,Di Nulla,79261961212,,https://dinulla.ru
Diamond Loft - лофт с большими окнами и потрясающим дизайном,Diamond Loft - лофт с большими окнами и потрясающим дизайном,74950080403,,https://www.loft2rent.ru/loft/30985
Digital Cinema Moscow,Digital Cinema Moscow,74957252622,info@moscowfilmfestival.ru,https://moscowfilmfestival.ru
Digital Leaders community,Digital Leaders community,74957264166,info@digitalleaders.ru,https://digitalleaders.ru
Digital TV Russia,Digital TV Russia,74957378666,aurusova@digitalrussia.tv,https://digitalrussia.tv
Disco,Disco,78124435702,,https://www.loft2rent.ru/loft/83744
DIY cafe,DIY cafe,79035105445,,https://www.loft2rent.ru/loft/55515/55517
DIYcafe (Ди-Ай-Уай Кафе). Лофт,DIYcafe (Ди-Ай-Уай Кафе). Лофт,79346644195,,https://www.reveltime.ru/venue/4299884?eventtype=vecherinka
Dizzy loft (Диззи лофт). Яркий лофт,Dizzy loft (Диззи лофт). Яркий лофт,79019317663,,https://www.reveltime.ru/venue/6712256?eventtype=vecherinka
Dizzy Loft в центре,Dizzy Loft в центре,79933450544,,https://www.loft2rent.ru/loft/136868
Dj cafeParadise лофт с терассой и караоке,Dj cafeParadise лофт с терассой и караоке,79213531717,,https://www.loft2rent.ru/loft/132298/163408
Do.Bro coffee (До.Бро кофе). Уютный лофт-зал при кофейне,Do.Bro coffee (До.Бро кофе). Уютный лофт-зал при кофейне,79584974160,,https://www.reveltime.ru/venue/6852686?eventtype=vecherinka
Doc Moscow Fest,Doc Moscow Fest,,,https://mdfest.ru
Dom,Dom,79254224470,,https://www.loft2rent.ru/loft/170544/170548
DOM AVDEEVA,DOM AVDEEVA,79266992956,,https://www.loft2rent.ru/loft/129251/129259
Dom Siyai,Dom Siyai,79150022842,,https://www.loft2rent.ru/loft/143676/143698
Domashniy,Domashniy,,advert@ctcmedia.ru,https://domashniy.ru
Domodedovo City Hotel,Domodedovo City Hotel,79151978130,,https://hotel-city.net/hotels/domodedovo/otel-domodedovo
Domodedovo Park Hotel,Domodedovo Park Hotel,74994993433,domodedovo_ph@mail.ru,https://xn-----6kckjaaed8bnovebdbbu7b4o.xn--p1ai
Don't Sleep Loft Молодежная 26,Don't Sleep Loft Молодежная 26,79039328089,,https://www.loft2rent.ru/loft/86655
DoubleTree by Hilton,DoubleTree by Hilton,74901103594,info@doubletreemoscow.ru,https://doubletreemoscow.ru
Doubletree by Hilton Moscow - Marina,Doubletree by Hilton Moscow - Marina,,,https://ostrovok.ru/hotel/russia/moscow/mid8313259/doubletree_by_hilton_hotel_moscow__marina
DoubleTree by Hilton Moscow — Vnukovo Airport,DoubleTree by Hilton Moscow — Vnukovo Airport,,,https://ostrovok.ru/hotel/russia/moscow/mid8848335/doubletree_by_hilton_moscow_vnukovo_airport
DoubleTree by Hilton Skolkovo,DoubleTree by Hilton Skolkovo,18004466677,,https://www.hilton.com/ru/locations/russian-federation/doubletree-by-hilton
Dr. Zhivago,Dr. Zhivago,74953638977,,https://drzhivago.ru
Dr. Живаго,Dr. Живаго,74999220100,,https://drzhivago.ru/
DRUNK PUNK BAR,DRUNK PUNK BAR,79166374659,,https://www.loft2rent.ru/loft/176808/176811
DTF,DTF,,editors@dtf.ru,https://dtf.ru
Due Forni,Due Forni,74954143104,,https://dueforni.ru/
Duty Free loft,Duty Free loft,79585212715,,https://www.loft2rent.ru/loft/144719
East Loft / Ист Лофт,East Loft / Ист Лофт,79817789824,,https://www.loft2rent.ru/loft/88115/88418
Echo LoftТропики,Echo LoftТропики,79017487578,,https://www.loft2rent.ru/loft/153404/155866
Eclipse,Eclipse,79250608713,,https://www.loft2rent.ru/loft/208007
EcoLoft,EcoLoft,74957763701,,https://www.loft2rent.ru/loft/54080/54085
En+ Group,En+ Group,442077474900,726_546_1_development-img@2x.jpg,https://www.enplusgroup.com
Encanto Studio,Encanto Studio,79223949614,,https://www.loft2rent.ru/loft/181208/181210
Encore,Encore,73433439044,admin@encorefitness.ru,https://encorefitness.ru
Encore City (Oko Tower),Encore City (Oko Tower),73433439044,admin@encorefitness.ru,https://www.encorefitness.ru
"EnjoyMe_studio (Арт пространство, мастерская)","EnjoyMe_studio (Арт пространство, мастерская)",79124518733,,https://www.loft2rent.ru/loft/142043
"EnjoyMe_studio (Лофт рояль, бильярд)","EnjoyMe_studio (Лофт рояль, бильярд)",79124518733,,https://www.loft2rent.ru/loft/142043
ENZO Hotel Moscow by ZONT Hotel Group,ENZO Hotel Moscow by ZONT Hotel Group,,,https://ostrovok.ru/hotel/russia/moscow/mid13725634/enzo_hotel_moscow_by_zont_hotel_group
Espada. Brosco (Эспада. Броско). Дизайнерский неоновый лофт,Espada. Brosco (Эспада. Броско). Дизайнерский неоновый лофт,79813347290,,https://www.reveltime.ru/venue/5445072?eventtype=vecherinka
EsterumEsterum,EsterumEsterum,79691301312,,https://www.loft2rent.ru/loft/187739/187741
"ESTETIKA - уютный лофт с окнами. Включено - караоке, светомузыка, мебель.  Подарок при бронировании","ESTETIKA - уютный лофт с окнами. Включено - караоке, светомузыка, мебель.  Подарок при бронировании",79099060421,,https://www.loft2rent.ru/loft/41462
Estetto (Эстетто). Студия-лофт из белого кирпича,Estetto (Эстетто). Студия-лофт из белого кирпича,79346692796,,https://www.reveltime.ru/venue/4177239?eventtype=vecherinka
Etalon Group,Etalon Group,78124398000,etalon@em-comms.com,https://www.etalongroup.com
Europa Plus,Europa Plus,,emgregion@emg.fm,https://europaplus.ru
Eva,Eva,74951911888,,http://www.eva.lucky-group.ru/
Event Marketing Group (EMG),Event Marketing Group (EMG),,hr@emg.ru,https://emg.ru
Event Space,Event Space,79274190718,,https://www.loft2rent.ru/loft/148024/148275
Event-port Южный,Event-port Южный,79773257850,,https://www.loft2rent.ru/loft/169356/169479
Event-парк «Берег Желаний»Камерный зал с панорамными окнами на берегу Истры,Event-парк «Берег Желаний»Камерный зал с панорамными окнами на берегу Истры,74996538233,,https://www.loft2rent.ru/loft/192952/192954
Event-парк «Берег Желаний»Летний зал с открытой кухней и баром,Event-парк «Берег Желаний»Летний зал с открытой кухней и баром,74996538233,,https://www.loft2rent.ru/loft/192952/192999
Event-парк «Берег Желаний»Летняя веранда на воде,Event-парк «Берег Желаний»Летняя веранда на воде,74996538233,,https://www.loft2rent.ru/loft/192952/192966
Event-парк «Берег Желаний»Панорамный зал с террасой,Event-парк «Берег Желаний»Панорамный зал с террасой,74996538233,,https://www.loft2rent.ru/loft/192952/192959
"Event-пространство ""Пандора""Блэк рум","Event-пространство ""Пандора""Блэк рум",78126025181,,https://www.loft2rent.ru/loft/134722/134731
"Event-пространство ""Пандора""Бордо","Event-пространство ""Пандора""Бордо",78126025181,,https://www.loft2rent.ru/loft/134722/134738
"Event-пространство ""Пандора""Восток","Event-пространство ""Пандора""Восток",78126025181,,https://www.loft2rent.ru/loft/134722/134740
"Event-пространство ""Пандора""Космос","Event-пространство ""Пандора""Космос",78126025181,,https://www.loft2rent.ru/loft/134722/134725
"Event-пространство ""Пандора""Морская симфония","Event-пространство ""Пандора""Морская симфония",78126025181,,https://www.loft2rent.ru/loft/134722/134727
"Event-пространство ""Пандора""Небесный","Event-пространство ""Пандора""Небесный",78126025181,,https://www.loft2rent.ru/loft/134722/134734
"Event-пространство ""Пандора""Сказка","Event-пространство ""Пандора""Сказка",78126025181,,https://www.loft2rent.ru/loft/134722/134736
"Event-пространство ""Пандора""Этно","Event-пространство ""Пандора""Этно",78126025181,,https://www.loft2rent.ru/loft/134722/134729
"Eventner""Сад"" Горки-10","Eventner""Сад"" Горки-10",74993023693,,https://www.loft2rent.ru/loft/169837/170436
EventnerLoft,EventnerLoft,74991101369,,https://www.loft2rent.ru/loft/169837/172882
EventnerPlay Room,EventnerPlay Room,74991101369,,https://www.loft2rent.ru/loft/169837/172850
EventnerWhite Hall,EventnerWhite Hall,74993023693,,https://www.loft2rent.ru/loft/169837/169954
EventnerВремена года,EventnerВремена года,74991101369,,https://www.loft2rent.ru/loft/169837/172839
EventnerГалерея,EventnerГалерея,74993023693,,https://www.loft2rent.ru/loft/169837/169848
EventnerЗеркальный,EventnerЗеркальный,74993023693,,https://www.loft2rent.ru/loft/169837/169859
EventnerИмператор,EventnerИмператор,74993023693,,https://www.loft2rent.ru/loft/169837/169975
EventnerИмперия,EventnerИмперия,74993023693,,https://www.loft2rent.ru/loft/169837/170454
"EventnerКонференц-Зал ""Аудитория""","EventnerКонференц-Зал ""Аудитория""",74993023693,,https://www.loft2rent.ru/loft/169837/169901
"EventnerЛетняя веранда ""Нани""","EventnerЛетняя веранда ""Нани""",74993023693,,https://www.loft2rent.ru/loft/169837/169993
EventnerМанки,EventnerМанки,74991101369,,https://www.loft2rent.ru/loft/169837/172826
EventnerНаполеон,EventnerНаполеон,74991101369,,https://www.loft2rent.ru/loft/169837/172832
EventnerНебо,EventnerНебо,74993023693,,https://www.loft2rent.ru/loft/169837/170456
EventnerРотонда для выездной регистрации,EventnerРотонда для выездной регистрации,74993023693,,https://www.loft2rent.ru/loft/169837/169969
EventnerСуриков Холл,EventnerСуриков Холл,74993023693,,https://www.loft2rent.ru/loft/169837/169910
EventnerФлоренция,EventnerФлоренция,74993023693,,https://www.loft2rent.ru/loft/169837/169892
EventnerФорум,EventnerФорум,74991101369,,https://www.loft2rent.ru/loft/169837/172836
"EventnerШатёр ""Картмазовские пруды""","EventnerШатёр ""Картмазовские пруды""",74993023693,,https://www.loft2rent.ru/loft/169837/169984
EventnerЭлеон,EventnerЭлеон,74993023693,,https://www.loft2rent.ru/loft/169837/170461
EventyOn / Лофт в сердце столицыЛофт / 1 этаж,EventyOn / Лофт в сердце столицыЛофт / 1 этаж,74952152052,,https://www.loft2rent.ru/loft/87017/87038
EventyOn / Лофт в сердце столицыЛофт / 2 этаж,EventyOn / Лофт в сердце столицыЛофт / 2 этаж,74952152052,,https://www.loft2rent.ru/loft/87017/87039
Everest Siberia,Everest Siberia,79032143774,,https://www.loft2rent.ru/loft/208085
EveryBody FitnessEveryBody Малый зал,EveryBody FitnessEveryBody Малый зал,79661742445,,https://www.loft2rent.ru/loft/28916/28945
EveryBody FitnessEveybody Большой зал,EveryBody FitnessEveybody Большой зал,79661742445,,https://www.loft2rent.ru/loft/28916/28952
EVGPark Baku,EVGPark Baku,79657474123,,https://www.loft2rent.ru/loft/32734/69327
Exit Loft - лофт в центре Москвы с верандой на крыше,Exit Loft - лофт в центре Москвы с верандой на крыше,74998881829,,https://www.loft2rent.ru/loft/1821
Extatic loftТематический дизайнерский двухуровневый бар лофт в стиле Стимпанк!,Extatic loftТематический дизайнерский двухуровневый бар лофт в стиле Стимпанк!,79099422325,,https://www.loft2rent.ru/loft/114826/114828
Eyes ( Айз) лофт,Eyes ( Айз) лофт,79296448663,,https://www.loft2rent.ru/loft/57063
Faces&Laces,Faces&Laces,,agency@faceslaces.com,https://faceslaces.com
Family Garden,Family Garden,79189083127,ak@familygarden.su,https://familygarden.su
Family LOFT,Family LOFT,79013551562,,https://babyspace.loft
Family Loft (Семейный лофт). Семейный лофт в стиле БОХО,Family Loft (Семейный лофт). Семейный лофт в стиле БОХО,79910172113,,https://www.reveltime.ru/venue/8262356?eventtype=vecherinka
"Family LoftКубовая,86/1","Family LoftКубовая,86/1",79137569672,,https://www.loft2rent.ru/loft/83369/83375
Fara Loft,Fara Loft,79684200044,,https://www.loft2rent.ru/loft/4607/26826
Fara Place,Fara Place,79684200044,,https://www.loft2rent.ru/loft/4607
FaraLoft (ФараЛофт). Лофт-апартаменты,FaraLoft (ФараЛофт). Лофт-апартаменты,79676928564,,https://www.reveltime.ru/venue/1019464?eventtype=vecherinka
FaraLoft (ФараЛофт). Стильный лофт,FaraLoft (ФараЛофт). Стильный лофт,79813347290,,https://www.reveltime.ru/venue/3160824?eventtype=vecherinka
Federal Cultural Projects Office Russia,Federal Cultural Projects Office Russia,,mail@culture.gov.ru,https://culture.gov.ru
Felicitatime Комната с мягкими диванами,Felicitatime Комната с мягкими диванами,79771972070,,https://www.reveltime.ru/venue/3090616?eventtype=vecherinka
Felicitatime. Пространство для праздников,Felicitatime. Пространство для праздников,79771972070,,https://www.reveltime.ru/venue/2049939?eventtype=vecherinka
"femine space, Алексеевская","femine space, Алексеевская",79267321372,,https://www.loft2rent.ru/loft/185659
FerdinandGroupBasement Hall,FerdinandGroupBasement Hall,79117508085,,https://www.loft2rent.ru/loft/87910/87915
FerdinandGroupFerdinand Prime,FerdinandGroupFerdinand Prime,79117508085,,https://www.loft2rent.ru/loft/87910/88227
Fermento,Fermento,79152814808,,https://www.loft2rent.ru/loft/189156/189158
Ferra Media,Ferra Media,74957851700,e.golozubova@rambler-co.ru,https://www.ferra.ru
Finch Coffee. Лофт-кафе под закрытие,Finch Coffee. Лофт-кафе под закрытие,79945035025,,https://www.reveltime.ru/venue/3294506?eventtype=vecherinka
FinTech Association Russia,FinTech Association Russia,74957856401,info@fintechru.org,https://fintechru.org
First & Only Club,First & Only Club,74952340000,avoloshenko@firstandonly.ru,https://firstandonly.ru
Flacon,Flacon,,info@flacon.ru,https://flacon.ru
Flame&GoFamous,Flame&GoFamous,79699008135,,https://www.loft2rent.ru/loft/89494/89515
Flame&GoFoto-Music,Flame&GoFoto-Music,79699008135,,https://www.loft2rent.ru/loft/89494/89524
Flame&GoFriends,Flame&GoFriends,79699008135,,https://www.loft2rent.ru/loft/89494/89520
Flava Event Dom,Flava Event Dom,74952557060,,https://www.loft2rent.ru/loft/85397/85399
Flava Event Sochi,Flava Event Sochi,74952557050,,https://www.loft2rent.ru/loft/184145/184259
"FLOW — светлый лофт с фотозоной в ЦАО, 8 минут от метро","FLOW — светлый лофт с фотозоной в ЦАО, 8 минут от метро",79585782362,,https://www.loft2rent.ru/loft/loftaviator
Flower_art_bar,Flower_art_bar,79037264442,,https://www.loft2rent.ru/loft/68829/68832
"FLUFFY — мягкий лофт с караоке в ЦАО, 7 минут от метро","FLUFFY — мягкий лофт с караоке в ЦАО, 7 минут от метро",79585782362,,https://www.loft2rent.ru/loft/loftaviator
FLØR,FLØR,79152775344,,https://florgroup.ru/flor
FM Logistic Russia,FM Logistic Russia,74951470775,20massmedia-ru@fmlogistic.com,https://www.fmlogistic.ru
Folk,Folk,74951898888,,https://folk-rest.ru/
Forbes Russia,Forbes Russia,74955653206,press-release@forbes.ru,https://www.forbes.ru
Foresta FestivalЗал «Emerald Hall»,Foresta FestivalЗал «Emerald Hall»,74951839744,,https://www.loft2rent.ru/loft/206526/207142
Foresta FestivalЗал «Мансарда»,Foresta FestivalЗал «Мансарда»,74951839744,,https://www.loft2rent.ru/loft/206526/208310
Foresta FestivalЗал «Прага»,Foresta FestivalЗал «Прага»,74951839744,,https://www.loft2rent.ru/loft/206526/207148
Foresta FestivalРесторан «Марко Поло»,Foresta FestivalРесторан «Марко Поло»,74951839744,,https://www.loft2rent.ru/loft/206526/208478
"Foresta FestivalШатер ""Парус""","Foresta FestivalШатер ""Парус""",74951839744,,https://www.loft2rent.ru/loft/206526/208323
"Foresta FestivalШатер ""Фестиваль""","Foresta FestivalШатер ""Фестиваль""",74951839744,,https://www.loft2rent.ru/loft/206526/208324
Forma,Forma,,forma@forma.ru,https://forma.ru
Format Loft,Format Loft,74959993979,f@f-loft.ru,https://f-loft.ru
Format loftФОРМАТ ЛОФТ,Format loftФОРМАТ ЛОФТ,79859993979,,https://www.loft2rent.ru/loft/77263/77280
FotoFaktura (ФотоФактура). Зал с большими окнами,FotoFaktura (ФотоФактура). Зал с большими окнами,74952210170,,https://www.reveltime.ru/venue/278940?eventtype=vecherinka
Fox Rest,Fox Rest,79268244318,,https://www.loft2rent.ru/loft/179457
FRAME - стильная просторная площадка  со сценой  на Красном Октябре,FRAME - стильная просторная площадка  со сценой  на Красном Октябре,79099060421,,https://www.loft2rent.ru/loft/41462
French Business Club Moscow,French Business Club Moscow,,hotline@ccifr.ru,https://ccifr.ru
Friday! (Pyatnitsa),Friday! (Pyatnitsa),74957255400,ddanilova@friday.ru,https://friday.ru
Friends,Friends,78126067020,,https://www.loft2rent.ru/loft/169051
"Friends Hall ""ХАРИЗМА"" FHB №1","Friends Hall ""ХАРИЗМА"" FHB №1",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHB №10","Friends Hall ""ХАРИЗМА"" FHB №10",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHB №11 #по-братски","Friends Hall ""ХАРИЗМА"" FHB №11 #по-братски",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHB №2","Friends Hall ""ХАРИЗМА"" FHB №2",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHB №3","Friends Hall ""ХАРИЗМА"" FHB №3",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHB №4","Friends Hall ""ХАРИЗМА"" FHB №4",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHB №5 VIP","Friends Hall ""ХАРИЗМА"" FHB №5 VIP",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHB №6","Friends Hall ""ХАРИЗМА"" FHB №6",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHB №7","Friends Hall ""ХАРИЗМА"" FHB №7",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHB №8","Friends Hall ""ХАРИЗМА"" FHB №8",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHB №9 #по-братски","Friends Hall ""ХАРИЗМА"" FHB №9 #по-братски",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHK №10","Friends Hall ""ХАРИЗМА"" FHK №10",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHK №2","Friends Hall ""ХАРИЗМА"" FHK №2",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHK №3","Friends Hall ""ХАРИЗМА"" FHK №3",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHK №4","Friends Hall ""ХАРИЗМА"" FHK №4",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHK №5","Friends Hall ""ХАРИЗМА"" FHK №5",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHK №6","Friends Hall ""ХАРИЗМА"" FHK №6",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHK №7","Friends Hall ""ХАРИЗМА"" FHK №7",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHK №8","Friends Hall ""ХАРИЗМА"" FHK №8",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHK №9","Friends Hall ""ХАРИЗМА"" FHK №9",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHL №1","Friends Hall ""ХАРИЗМА"" FHL №1",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHL №1 VIP","Friends Hall ""ХАРИЗМА"" FHL №1 VIP",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHL №2","Friends Hall ""ХАРИЗМА"" FHL №2",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHL №3","Friends Hall ""ХАРИЗМА"" FHL №3",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHL №4","Friends Hall ""ХАРИЗМА"" FHL №4",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHL №5","Friends Hall ""ХАРИЗМА"" FHL №5",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHL №6","Friends Hall ""ХАРИЗМА"" FHL №6",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHN №1","Friends Hall ""ХАРИЗМА"" FHN №1",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHN №2","Friends Hall ""ХАРИЗМА"" FHN №2",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHN №3","Friends Hall ""ХАРИЗМА"" FHN №3",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHN №4","Friends Hall ""ХАРИЗМА"" FHN №4",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHN №5","Friends Hall ""ХАРИЗМА"" FHN №5",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHN №6","Friends Hall ""ХАРИЗМА"" FHN №6",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHN №7","Friends Hall ""ХАРИЗМА"" FHN №7",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHN №8","Friends Hall ""ХАРИЗМА"" FHN №8",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHS №1 VIP","Friends Hall ""ХАРИЗМА"" FHS №1 VIP",74952910543,,https://www.loft2rent.ru/loft/42514
"Friends Hall ""ХАРИЗМА"" FHS №2 VIP","Friends Hall ""ХАРИЗМА"" FHS №2 VIP",74952910543,,https://www.loft2rent.ru/loft/42514
